Iteration,Attribut,Execution Time (s),RAM Before (MB),RAM After (MB),Records Processed
1,location,0.022,50.09,50.21,18
1,gender,0.04,49.35,49.45,21
1,maritalStatus_combinations,0.041,49.35,49.45,21
1,address_combinations,0.042,49.35,49.45,21
1,race,0.043,49.35,49.45,21
1,ethnicity,0.044,49.35,49.45,21
1,birthsex,0.044,49.35,49.45,21
1,multipleBirthInteger,0.045,49.35,49.45,21
1,communication_combinations,0.046,49.35,49.45,21
2,gender,0.015,50.21,50.25,21
2,maritalStatus_combinations,0.016,50.21,50.25,21
2,address_combinations,0.017,50.21,50.25,21
2,race,0.017,50.21,50.25,21
2,ethnicity,0.018,50.21,50.25,21
2,birthsex,0.018,50.21,50.25,21
2,multipleBirthInteger,0.019,50.21,50.25,21
2,communication_combinations,0.019,50.21,50.25,21
3,gender,0.011,50.25,50.27,21
3,maritalStatus_combinations,0.011,50.25,50.27,21
3,address_combinations,0.012,50.25,50.27,21
3,race,0.013,50.25,50.27,21
3,ethnicity,0.013,50.25,50.27,21
3,birthsex,0.014,50.25,50.27,21
3,multipleBirthInteger,0.014,50.25,50.27,21
3,communication_combinations,0.015,50.25,50.27,21
4,gender,0.011,50.27,50.29,21
4,maritalStatus_combinations,0.012,50.27,50.29,21
4,address_combinations,0.012,50.27,50.29,21
4,race,0.013,50.27,50.29,21
4,ethnicity,0.013,50.27,50.29,21
4,birthsex,0.014,50.27,50.29,21
4,multipleBirthInteger,0.014,50.27,50.29,21
4,communication_combinations,0.015,50.27,50.29,21
5,gender,0.014,50.29,50.29,21
5,maritalStatus_combinations,0.015,50.29,50.29,21
5,address_combinations,0.015,50.29,50.29,21
5,race,0.016,50.29,50.29,21
5,ethnicity,0.016,50.29,50.29,21
5,birthsex,0.017,50.29,50.29,21
5,multipleBirthInteger,0.017,50.29,50.29,21
5,communication_combinations,0.018,50.29,50.29,21
6,gender,0.012,50.29,50.29,21
6,maritalStatus_combinations,0.012,50.29,50.29,21
6,address_combinations,0.013,50.29,50.29,21
6,race,0.014,50.29,50.29,21
6,ethnicity,0.014,50.29,50.29,21
6,birthsex,0.014,50.29,50.29,21
6,multipleBirthInteger,0.015,50.29,50.29,21
6,communication_combinations,0.015,50.29,50.29,21
7,gender,0.009,50.29,50.29,21
7,maritalStatus_combinations,0.009,50.29,50.29,21
7,address_combinations,0.01,50.29,50.29,21
7,race,0.01,50.29,50.29,21
7,ethnicity,0.011,50.29,50.29,21
7,birthsex,0.011,50.29,50.29,21
7,multipleBirthInteger,0.012,50.29,50.29,21
7,communication_combinations,0.012,50.29,50.29,21
8,gender,0.01,50.29,50.29,21
8,maritalStatus_combinations,0.011,50.29,50.29,21
8,address_combinations,0.011,50.29,50.29,21
8,race,0.012,50.29,50.29,21
8,ethnicity,0.012,50.29,50.29,21
8,birthsex,0.013,50.29,50.29,21
8,multipleBirthInteger,0.013,50.29,50.29,21
8,communication_combinations,0.014,50.29,50.29,21
9,gender,0.012,50.3,50.3,21
9,maritalStatus_combinations,0.013,50.3,50.3,21
9,address_combinations,0.014,50.3,50.3,21
9,race,0.014,50.3,50.3,21
9,ethnicity,0.015,50.3,50.3,21
9,birthsex,0.015,50.3,50.3,21
9,multipleBirthInteger,0.016,50.3,50.3,21
9,communication_combinations,0.016,50.3,50.3,21
10,gender,0.009,50.3,50.3,21
10,maritalStatus_combinations,0.009,50.3,50.3,21
10,address_combinations,0.01,50.3,50.3,21
10,race,0.011,50.3,50.3,21
10,ethnicity,0.011,50.3,50.3,21
10,birthsex,0.012,50.3,50.3,21
10,multipleBirthInteger,0.012,50.3,50.3,21
10,communication_combinations,0.013,50.3,50.3,21
11,gender,0.008,50.31,50.31,21
11,maritalStatus_combinations,0.009,50.31,50.31,21
11,address_combinations,0.009,50.31,50.31,21
11,race,0.01,50.31,50.31,21
11,ethnicity,0.01,50.31,50.31,21
11,birthsex,0.011,50.31,50.31,21
11,multipleBirthInteger,0.011,50.31,50.31,21
11,communication_combinations,0.012,50.31,50.31,21
1,location,0.29,59.33,67.54,30
12,gender,0.035,50.31,50.31,21
12,maritalStatus_combinations,0.036,50.31,50.31,21
12,address_combinations,0.036,50.31,50.31,21
12,race,0.036,50.31,50.31,21
12,ethnicity,0.037,50.31,50.31,21
12,birthsex,0.037,50.31,50.31,21
12,multipleBirthInteger,0.038,50.31,50.31,21
12,communication_combinations,0.038,50.31,50.31,21
13,gender,0.013,50.31,50.31,21
13,maritalStatus_combinations,0.014,50.31,50.31,21
13,address_combinations,0.016,50.31,50.31,21
13,race,0.017,50.31,50.31,21
13,ethnicity,0.018,50.31,50.31,21
13,birthsex,0.019,50.31,50.31,21
13,multipleBirthInteger,0.02,50.31,50.31,21
13,communication_combinations,0.021,50.31,50.31,21
14,gender,0.01,50.31,50.31,21
14,maritalStatus_combinations,0.011,50.31,50.31,21
14,address_combinations,0.011,50.31,50.31,21
14,race,0.012,50.31,50.31,21
14,ethnicity,0.012,50.31,50.31,21
14,birthsex,0.013,50.31,50.31,21
14,multipleBirthInteger,0.013,50.31,50.31,21
14,communication_combinations,0.014,50.31,50.31,21
15,gender,0.015,50.32,50.32,21
15,maritalStatus_combinations,0.016,50.32,50.32,21
15,address_combinations,0.016,50.32,50.32,21
15,race,0.017,50.32,50.32,21
15,ethnicity,0.017,50.32,50.32,21
15,birthsex,0.018,50.32,50.32,21
15,multipleBirthInteger,0.018,50.32,50.32,21
15,communication_combinations,0.019,50.32,50.32,21
1,location,0.442,66.4,73.53,68
1,serviceProvider,0.443,66.4,73.53,68
1,custodian,0.409,60.12,74.14,34
16,gender,0.01,50.32,50.32,21
16,maritalStatus_combinations,0.011,50.32,50.32,21
16,address_combinations,0.011,50.32,50.32,21
16,race,0.012,50.32,50.32,21
16,ethnicity,0.012,50.32,50.32,21
16,birthsex,0.013,50.32,50.32,21
16,multipleBirthInteger,0.013,50.32,50.32,21
16,communication_combinations,0.014,50.32,50.32,21
17,gender,0.01,50.32,50.32,21
17,maritalStatus_combinations,0.011,50.32,50.32,21
17,address_combinations,0.011,50.32,50.32,21
17,race,0.011,50.32,50.32,21
17,ethnicity,0.012,50.32,50.32,21
17,birthsex,0.012,50.32,50.32,21
17,multipleBirthInteger,0.013,50.32,50.32,21
17,communication_combinations,0.013,50.32,50.32,21
18,gender,0.011,50.32,50.32,21
18,maritalStatus_combinations,0.012,50.32,50.32,21
18,address_combinations,0.013,50.32,50.32,21
18,race,0.013,50.32,50.32,21
18,ethnicity,0.013,50.32,50.32,21
18,birthsex,0.014,50.32,50.32,21
18,multipleBirthInteger,0.014,50.32,50.32,21
18,communication_combinations,0.015,50.32,50.32,21
19,gender,0.01,50.32,50.32,21
19,maritalStatus_combinations,0.011,50.32,50.32,21
19,address_combinations,0.011,50.32,50.32,21
19,race,0.012,50.32,50.32,21
19,ethnicity,0.012,50.32,50.32,21
19,birthsex,0.013,50.32,50.32,21
19,multipleBirthInteger,0.013,50.32,50.32,21
19,communication_combinations,0.014,50.32,50.32,21
20,gender,0.011,50.32,50.32,21
20,maritalStatus_combinations,0.012,50.32,50.32,21
20,address_combinations,0.012,50.32,50.32,21
20,race,0.013,50.32,50.32,21
20,ethnicity,0.013,50.32,50.32,21
20,birthsex,0.014,50.32,50.32,21
20,multipleBirthInteger,0.014,50.32,50.32,21
20,communication_combinations,0.015,50.32,50.32,21
21,gender,0.011,50.32,50.33,21
21,maritalStatus_combinations,0.012,50.32,50.33,21
21,address_combinations,0.012,50.32,50.33,21
21,race,0.013,50.32,50.33,21
21,ethnicity,0.013,50.32,50.33,21
21,birthsex,0.014,50.32,50.33,21
21,multipleBirthInteger,0.015,50.32,50.33,21
21,communication_combinations,0.015,50.32,50.33,21
22,gender,0.012,50.34,50.34,21
22,maritalStatus_combinations,0.013,50.34,50.34,21
22,address_combinations,0.013,50.34,50.34,21
22,race,0.014,50.34,50.34,21
22,ethnicity,0.014,50.34,50.34,21
22,birthsex,0.015,50.34,50.34,21
22,multipleBirthInteger,0.015,50.34,50.34,21
22,communication_combinations,0.016,50.34,50.34,21
23,gender,0.043,50.4,50.4,21
23,maritalStatus_combinations,0.043,50.4,50.4,21
23,address_combinations,0.044,50.4,50.4,21
23,race,0.044,50.4,50.4,21
23,ethnicity,0.045,50.4,50.4,21
23,birthsex,0.046,50.4,50.4,21
23,multipleBirthInteger,0.047,50.4,50.4,21
23,communication_combinations,0.047,50.4,50.4,21
24,gender,0.014,50.4,50.4,21
24,maritalStatus_combinations,0.016,50.4,50.4,21
24,address_combinations,0.016,50.4,50.4,21
24,race,0.017,50.4,50.4,21
24,ethnicity,0.018,50.4,50.4,21
24,birthsex,0.018,50.4,50.4,21
24,multipleBirthInteger,0.019,50.4,50.4,21
24,communication_combinations,0.019,50.4,50.4,21
25,gender,0.011,50.4,50.4,21
25,maritalStatus_combinations,0.012,50.4,50.4,21
25,address_combinations,0.013,50.4,50.4,21
25,race,0.013,50.4,50.4,21
25,ethnicity,0.014,50.4,50.4,21
25,birthsex,0.014,50.4,50.4,21
25,multipleBirthInteger,0.015,50.4,50.4,21
25,communication_combinations,0.015,50.4,50.4,21
2,location,0.368,70.59,80.54,30
1,code_triplets,0.739,82.57,85.2,200
1,performer,0.74,82.57,85.2,200
26,gender,0.013,50.4,50.4,21
26,maritalStatus_combinations,0.014,50.4,50.4,21
26,address_combinations,0.014,50.4,50.4,21
26,race,0.015,50.4,50.4,21
26,ethnicity,0.015,50.4,50.4,21
26,birthsex,0.016,50.4,50.4,21
